Running script: v5_neural_vae.py
Loading configuration from C:\Users\schot\Neural_VAE_ODE\runs\2026-02-20_172318_6880b5b\config.txt
Device: cuda
PCA reduced 375 → 129 dims (95.02% variance)
Selecting 100 landmark trials (greedy coverage)...
Subsampled to 100 sequences.
Built sequences: B=100, :=120, N=129
[036] train loss 0.98328 | recon 0.91384 | kl 3.43120 | smooth 1.12310 | trans 0.02556 | lle 0.00050 | beta 0.020
      valid loss 2.11284 | recon 2.07367 | kl 1.91519 | smooth 1.09611 | trans 0.03227 | lle 0.00009 | R² 0.3980
[037] train loss 0.99051 | recon 0.91657 | kl 3.65505 | smooth 1.13819 | trans 0.02568 | lle 0.00055 | beta 0.020
      valid loss 2.16939 | recon 2.11854 | kl 2.49796 | smooth 1.12714 | trans 0.03227 | lle 0.00008 | R² 0.3850
[038] train loss 0.93692 | recon 0.86334 | kl 3.63703 | smooth 1.14738 | trans 0.02555 | lle 0.00056 | beta 0.020
      valid loss 2.19771 | recon 2.15002 | kl 2.33995 | smooth 1.14972 | trans 0.03227 | lle 0.00011 | R² 0.3759
[039] train loss 0.93544 | recon 0.86046 | kl 3.70745 | smooth 1.15470 | trans 0.02555 | lle 0.00054 | beta 0.020
      valid loss 2.03953 | recon 1.99066 | kl 2.39902 | smooth 1.12765 | trans 0.03227 | lle 0.00009 | R² 0.4221
[040] train loss 0.93413 | recon 0.86098 | kl 3.61484 | smooth 1.17074 | trans 0.02561 | lle 0.00054 | beta 0.020
      valid loss 2.09886 | recon 2.04828 | kl 2.48367 | smooth 1.16702 | trans 0.03227 | lle 0.00011 | R² 0.4054
[041] train loss 0.89365 | recon 0.82389 | kl 3.44577 | smooth 1.17995 | trans 0.02572 | lle 0.00053 | beta 0.020
      valid loss 2.11373 | recon 2.06400 | kl 2.44163 | smooth 1.15285 | trans 0.03226 | lle 0.00008 | R² 0.4008
[042] train loss 0.87569 | recon 0.79731 | kl 3.87647 | smooth 1.19177 | trans 0.02571 | lle 0.00053 | beta 0.020
      valid loss 2.11097 | recon 2.05629 | kl 2.68853 | smooth 1.18191 | trans 0.03226 | lle 0.00009 | R² 0.4031
[043] train loss 0.87906 | recon 0.80690 | kl 3.56473 | smooth 1.21683 | trans 0.02562 | lle 0.00062 | beta 0.020
      valid loss 2.03828 | recon 1.98805 | kl 2.46582 | smooth 1.19223 | trans 0.03225 | lle 0.00008 | R² 0.4229
[044] train loss 0.84302 | recon 0.77155 | kl 3.52943 | smooth 1.22682 | trans 0.02563 | lle 0.00054 | beta 0.020
      valid loss 2.19113 | recon 2.14532 | kl 2.24409 | smooth 1.22313 | trans 0.03227 | lle 0.00009 | R² 0.3772
[045] train loss 0.82734 | recon 0.75404 | kl 3.62059 | smooth 1.24767 | trans 0.02572 | lle 0.00053 | beta 0.020
      valid loss 2.12820 | recon 2.07467 | kl 2.62981 | smooth 1.23107 | trans 0.03227 | lle 0.00011 | R² 0.3977
[046] train loss 0.81771 | recon 0.74559 | kl 3.56122 | smooth 1.25551 | trans 0.02552 | lle 0.00061 | beta 0.020
      valid loss 2.06060 | recon 2.01933 | kl 2.01668 | smooth 1.23513 | trans 0.03226 | lle 0.00011 | R² 0.4138
[047] train loss 0.78551 | recon 0.71429 | kl 3.51636 | smooth 1.27412 | trans 0.02536 | lle 0.00060 | beta 0.020
      valid loss 2.10213 | recon 2.05264 | kl 2.42735 | smooth 1.25516 | trans 0.03225 | lle 0.00009 | R² 0.4041
[048] train loss 0.80022 | recon 0.72480 | kl 3.72605 | smooth 1.27346 | trans 0.02552 | lle 0.00060 | beta 0.020
      valid loss 2.18819 | recon 2.13750 | kl 2.48665 | smooth 1.27181 | trans 0.03226 | lle 0.00010 | R² 0.3795
[049] train loss 0.76534 | recon 0.69041 | kl 3.70123 | smooth 1.28427 | trans 0.02559 | lle 0.00052 | beta 0.020
      valid loss 2.13157 | recon 2.08042 | kl 2.50960 | smooth 1.26704 | trans 0.03225 | lle 0.00007 | R² 0.3961
[050] train loss 0.74638 | recon 0.67004 | kl 3.77175 | smooth 1.30232 | trans 0.02552 | lle 0.00060 | beta 0.020
      valid loss 2.22774 | recon 2.17013 | kl 2.83171 | smooth 1.30833 | trans 0.03225 | lle 0.00008 | R² 0.3700
[051] train loss 0.74735 | recon 0.67396 | kl 3.62360 | smooth 1.31774 | trans 0.02565 | lle 0.00057 | beta 0.020
      valid loss 2.07778 | recon 2.02906 | kl 2.38769 | smooth 1.29140 | trans 0.03225 | lle 0.00010 | R² 0.4110
[052] train loss 0.72386 | recon 0.65425 | kl 3.43418 | smooth 1.33133 | trans 0.02547 | lle 0.00061 | beta 0.020
