Running script: v6_neural_vae.py
Loading configuration from C:\Users\schot\Neural_VAE_ODE\src\config.txt
Device: cuda
PCA disabled → using raw ROI with N=375
Selecting 100 landmark trials (greedy coverage)...
Subsampled to 100 sequences.
Built sequences: B=100, :=120, N=375
[035] train loss 1.12351 | recon 1.06025 | kl 3.10085 | smooth 1.37362 | trans 0.05460 | lle 0.00059 | beta 0.020
      valid loss 6.83859 | recon 6.82486 | kl 0.60981 | smooth 1.18909 | trans 0.09426 | lle 0.00008 | R² 0.0016
[036] train loss 1.09461 | recon 1.03947 | kl 2.69535 | smooth 1.36343 | trans 0.05445 | lle 0.00055 | beta 0.020
      valid loss 6.78057 | recon 6.76700 | kl 0.60098 | smooth 1.21100 | trans 0.09426 | lle 0.00010 | R² 0.0101
[037] train loss 1.12663 | recon 1.07563 | kl 2.48810 | smooth 1.39064 | trans 0.05418 | lle 0.00062 | beta 0.020
      valid loss 6.79786 | recon 6.78364 | kl 0.63365 | smooth 1.19470 | trans 0.09426 | lle 0.00009 | R² 0.0077
[038] train loss 1.11452 | recon 1.06686 | kl 2.32088 | smooth 1.39979 | trans 0.05417 | lle 0.00064 | beta 0.020
      valid loss 6.79537 | recon 6.77549 | kl 0.91630 | smooth 1.22287 | trans 0.09426 | lle 0.00011 | R² 0.0089
[039] train loss 1.14145 | recon 1.09130 | kl 2.44427 | smooth 1.42091 | trans 0.05416 | lle 0.00061 | beta 0.020
      valid loss 6.76975 | recon 6.74871 | kl 0.97421 | smooth 1.22636 | trans 0.09426 | lle 0.00009 | R² 0.0128
[040] train loss 1.08076 | recon 1.02902 | kl 2.52410 | smooth 1.43606 | trans 0.05416 | lle 0.00062 | beta 0.020
      valid loss 6.82425 | recon 6.79840 | kl 1.21364 | smooth 1.25634 | trans 0.09426 | lle 0.00011 | R² 0.0055
[041] train loss 1.13724 | recon 1.08109 | kl 2.74392 | smooth 1.45279 | trans 0.05416 | lle 0.00059 | beta 0.020
      valid loss 6.89026 | recon 6.86658 | kl 1.09974 | smooth 1.48760 | trans 0.09428 | lle 0.00010 | R² -0.0045
[042] train loss 1.03205 | recon 0.98015 | kl 2.53128 | smooth 1.45976 | trans 0.05411 | lle 0.00059 | beta 0.020
      valid loss 6.80474 | recon 6.78645 | kl 0.83531 | smooth 1.26915 | trans 0.09426 | lle 0.00009 | R² 0.0073
[043] train loss 1.04360 | recon 0.98121 | kl 3.05514 | smooth 1.48034 | trans 0.05415 | lle 0.00070 | beta 0.020
      valid loss 6.83422 | recon 6.82147 | kl 0.55904 | smooth 1.24625 | trans 0.09426 | lle 0.00008 | R² 0.0021
[044] train loss 1.00956 | recon 0.96229 | kl 2.29915 | smooth 1.47366 | trans 0.05478 | lle 0.00060 | beta 0.020
      valid loss 6.82201 | recon 6.80435 | kl 0.80423 | smooth 1.26171 | trans 0.09426 | lle 0.00009 | R² 0.0046
[045] train loss 0.98505 | recon 0.92909 | kl 2.73297 | smooth 1.48778 | trans 0.05436 | lle 0.00059 | beta 0.020
      valid loss 6.82432 | recon 6.80089 | kl 1.09293 | smooth 1.25813 | trans 0.09426 | lle 0.00012 | R² 0.0052
[046] train loss 0.95353 | recon 0.89545 | kl 2.83912 | smooth 1.49275 | trans 0.05464 | lle 0.00069 | beta 0.020
      valid loss 6.84121 | recon 6.81811 | kl 1.07594 | smooth 1.27871 | trans 0.09426 | lle 0.00011 | R² 0.0026
[047] train loss 0.93674 | recon 0.88574 | kl 2.48449 | smooth 1.51040 | trans 0.05453 | lle 0.00065 | beta 0.020
      valid loss 6.83907 | recon 6.82108 | kl 0.82047 | smooth 1.27131 | trans 0.09426 | lle 0.00009 | R² 0.0022
[048] train loss 0.91559 | recon 0.86099 | kl 2.66455 | smooth 1.52936 | trans 0.05435 | lle 0.00066 | beta 0.020
      valid loss 6.80378 | recon 6.78585 | kl 0.81764 | smooth 1.27152 | trans 0.09426 | lle 0.00010 | R² 0.0074
[049] train loss 0.90785 | recon 0.85198 | kl 2.72762 | smooth 1.54277 | trans 0.05412 | lle 0.00060 | beta 0.020
      valid loss 6.80431 | recon 6.78632 | kl 0.82027 | smooth 1.28953 | trans 0.09426 | lle 0.00008 | R² 0.0073
[050] train loss 0.90368 | recon 0.85076 | kl 2.57920 | smooth 1.55759 | trans 0.05476 | lle 0.00068 | beta 0.020
      valid loss 6.79310 | recon 6.77332 | kl 0.90965 | smooth 1.29904 | trans 0.09426 | lle 0.00009 | R² 0.0092
[051] train loss 0.93595 | recon 0.88179 | kl 2.64138 | smooth 1.55723 | trans 0.05451 | lle 0.00062 | beta 0.020
      valid loss 6.79399 | recon 6.77107 | kl 1.06652 | smooth 1.29141 | trans 0.09426 | lle 0.00011 | R² 0.0095
[052] train loss 0.89228 | recon 0.83297 | kl 2.89831 | smooth 1.58090 | trans 0.05487 | lle 0.00068 | beta 0.020
      valid loss 6.77813 | recon 6.75535 | kl 1.05933 | smooth 1.30013 | trans 0.09426 | lle 0.00010 | R² 0.0118
[053] train loss 0.88989 | recon 0.82936 | kl 2.95927 | smooth 1.60483 | trans 0.05304 | lle 0.00065 | beta 0.020
      valid loss 6.78548 | recon 6.76278 | kl 1.05550 | smooth 1.30288 | trans 0.09426 | lle 0.00010 | R² 0.0107
[054] train loss 0.91303 | recon 0.86160 | kl 2.50295 | smooth 1.61814 | trans 0.05475 | lle 0.00070 | beta 0.020
      valid loss 6.78680 | recon 6.76369 | kl 1.07542 | smooth 1.31862 | trans 0.09426 | lle 0.00011 | R² 0.0106
[055] train loss 0.83765 | recon 0.77907 | kl 2.86009 | smooth 1.65393 | trans 0.05470 | lle 0.00067 | beta 0.020
      valid loss 6.77538 | recon 6.75354 | kl 1.01181 | smooth 1.32220 | trans 0.09426 | lle 0.00010 | R² 0.0121
[056] train loss 0.84040 | recon 0.78887 | kl 2.50853 | smooth 1.63297 | trans 0.05448 | lle 0.00068 | beta 0.020
      valid loss 6.77129 | recon 6.74730 | kl 1.11820 | smooth 1.35662 | trans 0.09425 | lle 0.00010 | R² 0.0130
[057] train loss 0.84101 | recon 0.78681 | kl 2.64092 | smooth 1.67705 | trans 0.05381 | lle 0.00067 | beta 0.020
      valid loss 6.81422 | recon 6.79378 | kl 0.94090 | smooth 1.33917 | trans 0.09426 | lle 0.00008 | R² 0.0062
[058] train loss 0.92113 | recon 0.86808 | kl 2.58264 | smooth 1.67518 | trans 0.05470 | lle 0.00064 | beta 0.020
      valid loss 6.78641 | recon 6.76735 | kl 0.87202 | smooth 1.34947 | trans 0.09426 | lle 0.00010 | R² 0.0101
[059] train loss 0.82840 | recon 0.77712 | kl 2.49374 | smooth 1.71075 | trans 0.05406 | lle 0.00068 | beta 0.020
      valid loss 6.75015 | recon 6.72796 | kl 1.02850 | smooth 1.35732 | trans 0.09426 | lle 0.00011 | R² 0.0158
[060] train loss 0.80130 | recon 0.74614 | kl 2.68751 | smooth 1.71888 | trans 0.05486 | lle 0.00066 | beta 0.020
      valid loss 6.77271 | recon 6.74973 | kl 1.06773 | smooth 1.36629 | trans 0.09425 | lle 0.00009 | R² 0.0126
[061] train loss 0.82657 | recon 0.77258 | kl 2.62837 | smooth 1.74162 | trans 0.05405 | lle 0.00074 | beta 0.020
      valid loss 6.73735 | recon 6.70997 | kl 1.28669 | smooth 1.39630 | trans 0.09425 | lle 0.00011 | R² 0.0185
[062] train loss 0.78101 | recon 0.72813 | kl 2.57262 | smooth 1.76184 | trans 0.05469 | lle 0.00065 | beta 0.020
      valid loss 6.73525 | recon 6.70825 | kl 1.26773 | smooth 1.40084 | trans 0.09425 | lle 0.00011 | R² 0.0187
[063] train loss 0.79749 | recon 0.74756 | kl 2.42401 | smooth 1.79549 | trans 0.05455 | lle 0.00072 | beta 0.020
      valid loss 6.76034 | recon 6.73396 | kl 1.23678 | smooth 1.40159 | trans 0.09426 | lle 0.00009 | R² 0.0149
[064] train loss 0.79829 | recon 0.74696 | kl 2.49434 | smooth 1.78492 | trans 0.05430 | lle 0.00070 | beta 0.020
      valid loss 6.71274 | recon 6.68140 | kl 1.48459 | smooth 1.40202 | trans 0.09425 | lle 0.00010 | R² 0.0226
[065] train loss 0.78159 | recon 0.72357 | kl 2.82852 | smooth 1.79798 | trans 0.05463 | lle 0.00071 | beta 0.020
      valid loss 6.67881 | recon 6.64707 | kl 1.50475 | smooth 1.41766 | trans 0.09425 | lle 0.00009 | R² 0.0277
[066] train loss 0.76125 | recon 0.70982 | kl 2.49765 | smooth 1.83947 | trans 0.05466 | lle 0.00070 | beta 0.020
      valid loss 6.67497 | recon 6.64263 | kl 1.53441 | smooth 1.42465 | trans 0.09425 | lle 0.00009 | R² 0.0283
[067] train loss 0.77495 | recon 0.72248 | kl 2.55067 | smooth 1.82246 | trans 0.05404 | lle 0.00079 | beta 0.020
      valid loss 6.67674 | recon 6.64116 | kl 1.69641 | smooth 1.42963 | trans 0.09424 | lle 0.00009 | R² 0.0285
[068] train loss 0.72405 | recon 0.67162 | kl 2.54816 | smooth 1.84381 | trans 0.05401 | lle 0.00073 | beta 0.020
      valid loss 6.65918 | recon 6.62126 | kl 1.81273 | smooth 1.44520 | trans 0.09425 | lle 0.00010 | R² 0.0314
[069] train loss 0.76158 | recon 0.70401 | kl 2.80454 | smooth 1.86308 | trans 0.05423 | lle 0.00076 | beta 0.020
      valid loss 6.64303 | recon 6.60104 | kl 2.01607 | smooth 1.45000 | trans 0.09425 | lle 0.00010 | R² 0.0344
[070] train loss 0.72108 | recon 0.66444 | kl 2.75727 | smooth 1.88132 | trans 0.05441 | lle 0.00071 | beta 0.020
      valid loss 6.66373 | recon 6.62597 | kl 1.80458 | smooth 1.46401 | trans 0.09425 | lle 0.00011 | R² 0.0307
[071] train loss 0.72172 | recon 0.66894 | kl 2.56423 | smooth 1.90395 | trans 0.05399 | lle 0.00084 | beta 0.020
      valid loss 6.60228 | recon 6.56228 | kl 1.91554 | smooth 1.47864 | trans 0.09425 | lle 0.00011 | R² 0.0401
[072] train loss 0.69350 | recon 0.63701 | kl 2.74830 | smooth 1.94639 | trans 0.05392 | lle 0.00076 | beta 0.020
      valid loss 6.63955 | recon 6.59935 | kl 1.92556 | smooth 1.50112 | trans 0.09425 | lle 0.00011 | R² 0.0346
[073] train loss 0.72551 | recon 0.67268 | kl 2.56506 | smooth 1.95074 | trans 0.05451 | lle 0.00072 | beta 0.020
      valid loss 6.63464 | recon 6.59649 | kl 1.82337 | smooth 1.48398 | trans 0.09425 | lle 0.00010 | R² 0.0351
[074] train loss 0.69347 | recon 0.63948 | kl 2.62407 | smooth 1.91417 | trans 0.05458 | lle 0.00072 | beta 0.020
      valid loss 6.61367 | recon 6.57784 | kl 1.70721 | smooth 1.49440 | trans 0.09424 | lle 0.00009 | R² 0.0378
[075] train loss 0.71391 | recon 0.66258 | kl 2.49125 | smooth 1.94542 | trans 0.05231 | lle 0.00078 | beta 0.020
      valid loss 6.64042 | recon 6.59852 | kl 2.01058 | smooth 1.50083 | trans 0.09424 | lle 0.00013 | R² 0.0348
[076] train loss 0.66628 | recon 0.60500 | kl 2.98737 | smooth 1.97524 | trans 0.05461 | lle 0.00074 | beta 0.020
      valid loss 6.56380 | recon 6.51440 | kl 2.38468 | smooth 1.51315 | trans 0.09425 | lle 0.00009 | R² 0.0471
[077] train loss 0.68553 | recon 0.63010 | kl 2.69366 | smooth 1.99365 | trans 0.05459 | lle 0.00071 | beta 0.020
      valid loss 6.52062 | recon 6.47100 | kl 2.39548 | smooth 1.51734 | trans 0.09424 | lle 0.00010 | R² 0.0534
[078] train loss 0.65255 | recon 0.59873 | kl 2.61282 | smooth 2.01242 | trans 0.05420 | lle 0.00077 | beta 0.020
      valid loss 6.51859 | recon 6.46622 | kl 2.53295 | smooth 1.52636 | trans 0.09424 | lle 0.00010 | R² 0.0541
